rank,player,team,position,pos_rank,round,tier,xp,edge
1,Haaland,MCI,FWD,1,1,1,262.6,149.3
2,B.Fernandes,MUN,MID,1,1,1,257.6,116.1
3,Gabriel,ARS,DEF,1,1,1,251.7,114.3
4,João Pedro,CHE,FWD,2,1,2,193.7,80.3
5,Thiago,BRE,FWD,3,1,3,182.4,69.0
6,Semenyo,MCI,MID,2,1,2,210.1,68.6
7,Bruno G.,ARS,MID,3,1,3,205.0,63.5
8,Guéhi,MCI,DEF,2,1,2,196.8,59.4
9,Watkins,AVL,FWD,4,2,4,172.7,59.3
10,Rice,ARS,MID,4,2,4,196.3,54.9
11,Saka,ARS,MID,5,2,4,195.6,54.1
12,Gibbs-White,NFO,MID,6,2,4,194.3,52.8
13,Dewsbury-Hall,EVE,MID,7,2,5,186.2,44.7
14,O'Reilly,MCI,DEF,3,2,3,181.6,44.2
15,Senesi,TOT,DEF,4,2,3,180.0,42.6
16,Muñoz,CRY,DEF,5,2,3,179.8,42.4
17,Calvert-Lewin,LEE,FWD,5,3,5,155.1,41.7
18,Anderson,MCI,MID,8,3,6,180.9,39.4
19,Virgil,LIV,DEF,6,3,4,176.5,39.1
20,Stach,LEE,MID,9,3,6,180.4,39.0
21,Tarkowski,EVE,DEF,7,3,4,175.2,37.8
22,Wilson,LEE,MID,10,3,6,178.6,37.1
23,Matheus N.,MCI,DEF,8,3,4,174.4,37.0
24,Raya,ARS,GK,1,3,1,168.3,34.4
25,Rogers,CHE,MID,11,4,7,175.0,33.5
26,Gvardiol,MCI,DEF,9,4,5,169.0,31.6
27,Lacroix,CHE,DEF,10,4,5,168.5,31.1
28,Mukiele,SUN,DEF,11,4,5,168.4,31.0
29,Mbeumo,MUN,MID,12,4,7,172.0,30.5
30,Rúben,MCI,DEF,12,4,5,167.5,30.1
31,Rayan,BOU,MID,13,4,7,171.0,29.5
32,Richarlison,TOT,FWD,6,4,6,142.4,29.0
33,Szoboszlai,LIV,MID,14,5,7,170.1,28.6
34,Truffert,BOU,DEF,13,5,5,166.0,28.6
35,Palmer,CHE,MID,15,5,7,168.0,26.5
36,Enzo,CHE,MID,16,5,7,167.0,25.5
37,Ekitiké,LIV,FWD,7,5,6,138.6,25.3
38,Cunha,MUN,MID,17,5,7,166.2,24.7
39,Calafiori,ARS,DEF,14,5,6,161.8,24.4
40,Gyökeres,ARS,FWD,8,5,6,137.3,23.9
41,Mateta,CRY,FWD,9,6,6,136.2,22.8
42,O.Dango,BRE,MID,18,6,8,162.7,21.2
43,Van Hecke,TOT,DEF,15,6,7,156.7,19.3
44,Šeško,MUN,FWD,10,6,6,132.6,19.3
45,Donnarumma,MCI,GK,2,6,2,152.6,18.7
46,Sarr,CRY,MID,19,6,8,160.0,18.6
47,J.Timber,ARS,DEF,16,6,7,155.3,17.9
48,Welbeck,CHE,FWD,11,6,6,130.3,16.9
49,Cherki,MCI,MID,20,7,8,157.2,15.7
50,Groß,BHA,MID,21,7,8,157.1,15.6
51,James,CHE,DEF,17,7,8,152.4,15.0
52,Ballard,SUN,DEF,18,7,8,152.3,14.9
53,E.Le Fée,SUN,MID,22,7,8,155.9,14.4
54,Keane,EVE,DEF,19,7,8,151.4,14.0
55,Bijol,LEE,DEF,20,7,8,151.2,13.8
56,Roefs,SUN,GK,3,7,3,147.6,13.7
57,Kelleher,BRE,GK,4,8,3,147.6,13.7
58,Romero,TOT,DEF,21,8,8,151.0,13.6
59,Maguire,MUN,DEF,22,8,8,150.1,12.7
60,Tavernier,BOU,MID,23,8,8,154.0,12.5
61,Doku,MCI,MID,24,8,8,153.6,12.2
62,Woltemade,NEW,FWD,12,8,6,125.2,11.8
63,Gravenberch,LIV,MID,25,8,8,153.0,11.5
64,Ndiaye,EVE,MID,26,8,8,152.7,11.3
65,Foden,MCI,MID,27,9,8,152.4,11.0
66,Richards,CRY,DEF,23,9,8,148.3,10.9
67,Martinez,AVL,GK,5,9,4,142.8,8.9
68,Evanilson,BOU,FWD,13,9,6,122.0,8.6
69,Osula,NEW,FWD,14,9,6,121.1,7.8
70,Hill,BOU,DEF,24,9,9,145.0,7.6
71,Okafor,LEE,MID,28,9,9,149.0,7.5
72,White,ARS,DEF,25,9,9,144.4,7.0
73,Aina,NFO,DEF,26,10,9,142.0,4.6
74,Ampadu,LEE,MID,29,10,10,145.9,4.4
75,Igor Jesus,NFO,FWD,15,10,6,117.6,4.3
76,Collins,BRE,DEF,27,10,9,141.0,3.6
77,Wirtz,LIV,MID,30,10,10,145.0,3.6
78,Tete,FUL,DEF,28,10,9,140.5,3.1
79,Havertz,ARS,FWD,16,10,7,115.9,2.5
80,Pope,NEW,GK,6,10,5,135.8,1.9
81,Fernandes,TOT,MID,31,11,10,143.1,1.6
82,Pickford,EVE,GK,7,11,5,135.3,1.4
83,Henderson,CRY,GK,8,11,5,135.2,1.3
84,Andersen,FUL,DEF,29,11,9,138.4,1.0
85,Wieffer,BHA,DEF,30,11,9,138.1,0.7
86,Grealish,MCI,MID,32,11,10,142.0,0.6
87,Saliba,ARS,DEF,31,11,9,137.6,0.2
88,Thiaw,NEW,DEF,32,11,9,137.5,0.1
89,Kudus,TOT,MID,33,12,10,141.5,0.0
