rank,player,team,position,pos_rank,pts,floor,pp90
1,Bruno Fernandes,MUN,MID,1,468.23,333.34,15.05
2,Erling Haaland,MCI,FWD,1,431.81,200.66,14.39
3,Morgan Gibbs-White,NFO,MID,2,395.34,269.79,11.86
4,Bukayo Saka,ARS,MID,3,393.62,281.88,14.76
5,Antoine Semenyo,MCI,FWD,2,384.66,241.51,13.85
6,Dominik Szoboszlai,LIV,MID,4,358.67,283.42,10.76
7,Jeremy Doku,MCI,MID,5,349.13,266.0,14.28
8,Matheus Cunha,MUN,FWD,3,346.36,242.67,11.99
9,Igor Thiago,BRE,FWD,4,320.51,189.29,10.3
10,Florian Wirtz,LIV,MID,6,319.27,232.69,11.49
11,Ollie Watkins,AVL,FWD,5,315.79,160.17,10.93
12,Joao Pedro,CHE,FWD,6,314.33,186.35,10.48
13,Rayan Cherki,MCI,MID,7,312.99,213.24,15.65
14,Cody Gakpo,LIV,FWD,7,312.23,213.28,13.38
15,Bryan Mbeumo,MUN,FWD,8,304.55,198.32,10.54
16,Gabriel,ARS,DEF,1,303.82,186.99,9.77
17,Cole Palmer,CHE,MID,8,301.7,204.73,10.44
18,Neco Williams,NFO,DEF,2,294.77,225.97,8.29
19,Virgil van Dijk,LIV,DEF,3,286.14,202.84,8.58
20,Marcus Tavernier,BOU,MID,9,285.05,225.77,10.26
21,James Tarkowski,EVE,DEF,4,284.56,219.61,9.15
22,Iliman Ndiaye,EVE,MID,10,278.46,207.15,9.28
23,Rayan,BOU,FWD,9,277.92,186.31,10.42
24,Morgan Rogers,CHE,MID,11,275.55,188.62,9.54
25,Pedro Porro,TOT,DEF,5,274.19,203.58,8.81
26,Adrien Truffert,BOU,DEF,6,273.04,200.0,7.68
27,Declan Rice,ARS,MID,12,272.06,218.99,9.42
28,Alexander Isak,LIV,FWD,10,271.9,110.34,10.64
29,Enzo Le Fee,SUN,MID,13,270.97,216.21,8.71
30,Dominic Calvert-Lewin,LEE,FWD,11,270.39,173.92,8.69
31,Diego Gomez,BHA,MID,14,265.55,214.16,8.85
32,Phil Foden,MCI,MID,15,262.33,175.29,11.24
33,Anton Stach,LEE,MID,16,262.19,230.03,9.44
34,Kiernan Dewsbury-Hall,EVE,MID,17,262.12,189.18,8.43
35,Alex Iwobi,FUL,MID,18,261.34,212.59,8.71
36,Amad Diallo,MUN,MID,19,255.9,201.16,10.47
37,Youri Tielemans,MUN,MID,20,255.77,214.55,9.59
38,Malick Thiaw,NEW,DEF,7,255.72,190.91,7.67
39,Ryan Gravenberch,LIV,MID,21,255.46,221.64,7.66
40,Benjamin Sesko,MUN,FWD,12,252.77,146.11,11.37
41,Pascal Gross,BHA,MID,22,250.46,217.93,9.02
42,Matheus Nunes,MCI,DEF,8,249.08,142.51,8.62
43,Kai Havertz,ARS,FWD,13,248.41,143.94,10.65
44,Michael Kayode,BRE,DEF,9,246.29,191.47,6.93
45,Nico O'Reilly,MCI,DEF,10,245.02,132.98,8.82
46,Elliot Anderson,MCI,MID,23,244.66,225.89,8.16
47,Emiliano Buendia,AVL,MID,24,243.73,166.42,9.97
48,Yankuba Minteh,BHA,MID,25,243.39,198.55,10.43
49,Nordi Mukiele,SUN,DEF,11,241.71,181.73,7.77
50,Robin Roefs,SUN,GK,1,241.39,187.95,6.35
51,Chris Richards,CRY,DEF,12,240.65,185.75,7.22
52,John McGinn,AVL,MID,26,239.71,184.28,7.7
53,Igor Jesus,NFO,FWD,14,238.0,133.79,9.74
54,James Garner,EVE,MID,27,237.81,222.59,7.64
55,Jarrad Branthwaite,EVE,DEF,13,237.21,171.8,8.21
56,Gonzalo Garcia,FUL,FWD,15,236.94,148.44,8.89
57,David Raya,ARS,GK,2,236.63,100.21,6.23
58,Enzo Fernandez,CHE,MID,28,234.89,198.14,8.81
59,James Maddison,TOT,MID,29,234.49,165.74,11.72
60,Alexis Mac Allister,LIV,MID,30,234.3,192.07,8.43
61,Gianluigi Donnarumma,MCI,GK,3,232.99,137.74,6.13
62,Nathan Collins,BRE,DEF,14,232.01,178.4,6.96
63,Riccardo Calafiori,ARS,DEF,15,231.99,148.19,9.94
64,Caoimhin Kelleher,BRE,GK,4,231.98,161.28,6.1
65,Chris Wood,NFO,FWD,16,230.5,123.02,10.92
66,Georginio Rutter,BHA,FWD,17,229.88,162.27,8.28
67,Dango Ouattara,BRE,MID,31,229.36,168.58,8.6
68,Kevin Schade,BRE,FWD,18,229.29,163.32,9.38
69,Alex Scott,BOU,MID,32,229.14,225.33,7.64
70,Jan Paul van Hecke,TOT,DEF,16,228.31,171.65,7.34
71,Jurrien Timber,ARS,DEF,17,227.58,128.35,9.31
72,Ismaila Sarr,CRY,MID,33,227.24,154.69,8.18
73,Lukas Hornicek,NEW,GK,5,225.71,162.12,5.94
74,Mohamed Belloumi,HUL,MID,34,223.96,198.55,10.08
75,Mikkel Damsgaard,BRE,MID,35,223.01,174.75,9.12
76,Vitaliy Mykolenko,EVE,DEF,18,222.53,157.34,6.68
77,Djordje Petrovic,BOU,GK,6,220.13,158.13,5.79
78,Jean-Philippe Mateta,CRY,FWD,19,220.04,127.53,9.9
79,Jordan Pickford,EVE,GK,7,218.89,139.66,5.76
80,Milos Kerkez,LIV,DEF,19,218.8,142.7,7.03
81,Jake O'Brien,EVE,DEF,20,217.67,164.08,6.53
82,Martin Odegaard,ARS,MID,36,217.5,149.14,10.87
83,Kaoru Mitoma,BHA,MID,37,217.37,174.64,9.78
84,Will Osula,NEW,FWD,20,216.12,124.62,10.81
85,Ian Maatsen,AVL,DEF,21,215.42,157.37,8.08
86,Charalampos Kostoulas,BHA,FWD,21,215.06,142.99,12.1
87,Jack Hinshelwood,BHA,MID,38,214.98,147.94,7.74
88,Omar Alderete,SUN,DEF,22,213.86,175.75,6.87
89,Emiliano Martinez,AVL,GK,8,213.64,152.03,5.62
90,Daniel Ballard,SUN,DEF,23,213.47,180.58,8.01
91,Josko Gvardiol,MCI,DEF,24,213.43,125.73,8.35
92,James Trafford,LEE,GK,9,213.0,178.18,5.61
93,Alisson,LIV,GK,10,212.43,129.75,5.59
94,Lewis Miley,NEW,MID,39,209.86,168.88,7.87
95,Harvey Barnes,NEW,MID,40,209.34,140.21,9.42
96,Ethan Ampadu,LEE,MID,41,209.21,215.86,5.88
97,Oliver McBurnie,HUL,FWD,22,208.93,157.31,7.83
98,Thierno Barry,EVE,FWD,23,208.87,135.91,9.4
99,Bruno Guimaraes,ARS,MID,42,208.67,158.49,8.54
100,Marcos Senesi,TOT,DEF,25,208.65,164.97,7.51
101,Carl Rushworth,COV,GK,11,208.3,158.55,5.48
102,Robert Sanchez,CHE,GK,12,208.26,147.19,5.48
103,Dean Henderson,CRY,GK,13,206.51,138.65,5.43
104,Matz Sels,NFO,GK,14,206.33,141.45,5.43
105,Antonee Robinson,FUL,DEF,26,205.89,160.64,8.42
106,Tyrick Mitchell,CRY,DEF,27,205.71,136.53,6.17
107,Diogo Dalot,MUN,DEF,28,205.6,159.16,7.12
108,Christos Tzolis,ARS,FWD,24,204.86,139.2,10.24
109,Abdul Fatawu,IPS,FWD,25,204.59,179.17,8.77
110,Dominic Solanke,TOT,FWD,26,202.91,126.5,9.13
111,Antonin Kinsky,TOT,GK,15,201.58,133.64,5.3
112,Marc Guehi,MCI,DEF,29,201.2,134.08,9.05
113,Alysson,AVL,FWD,27,200.37,127.39,12.88
114,Harry Wilson,LEE,MID,43,199.74,148.26,8.17
115,James Hill,BOU,DEF,30,199.13,167.97,8.96
116,Ferdi Kadioglu,BHA,DEF,31,199.04,136.48,6.4
117,Mamadou Sangare,BRE,DEF,32,198.68,134.2,8.13
118,Granit Xhaka,SUN,MID,44,198.44,190.23,5.95
119,Moises Caicedo,CHE,MID,45,196.98,191.11,6.57
120,Murillo,NFO,DEF,33,193.85,148.06,5.82
121,Junior Kroupi,BOU,FWD,28,192.99,121.95,9.65
122,Callum Hudson-Odoi,NFO,FWD,29,192.57,140.26,11.55
123,Bart Verbruggen,BHA,GK,16,192.33,130.54,5.06
124,Nikola Milenkovic,NFO,DEF,34,190.93,132.88,5.73
125,Mohammed Kudus,TOT,MID,46,190.91,154.98,9.55
126,Bernd Leno,FUL,GK,17,189.24,132.18,4.98
127,Bobby Thomas,COV,DEF,35,188.75,157.13,6.53
128,Lewis Hall,NEW,DEF,36,188.61,140.65,6.79
129,Matt Grimes,COV,MID,47,187.99,180.05,6.27
130,Gustavo Hamer,COV,MID,48,187.9,149.5,8.05
131,Beto,EVE,FWD,30,187.62,123.78,10.55
132,Jaydee Canvot,CRY,DEF,37,186.19,152.94,6.98
133,Sven Botman,NEW,DEF,38,185.91,141.93,7.61
134,Ola Aina,NFO,DEF,39,185.69,135.87,6.43
135,Adam Wharton,CRY,MID,49,185.11,176.24,6.94
136,Dan Ndoye,NFO,FWD,31,184.87,137.07,9.24
137,Alejandro Garnacho,AVL,MID,50,184.85,143.83,9.24
138,Jacob Ramsey,NEW,MID,51,184.68,160.49,7.55
139,Yasin Ayari,BHA,MID,52,183.58,158.5,6.88
140,Justin Kluivert,BOU,MID,53,182.64,139.61,9.13
141,Senne Lammens,MUN,GK,18,182.3,115.0,4.8
142,Reece James,CHE,DEF,40,181.26,120.25,8.16
143,Matty Cash,AVL,DEF,41,180.87,121.41,5.81
144,Brian Brobbey,SUN,FWD,32,179.88,114.94,6.23
145,Nick Woltemade,NEW,FWD,33,179.08,99.02,8.95
146,Jack Clarke,IPS,MID,54,178.7,131.21,8.94
147,Richarlison,TOT,FWD,34,178.34,94.0,11.46
148,Mathias Jensen,BRE,MID,55,178.29,154.23,7.29
149,Boubacar Kamara,AVL,MID,56,177.77,168.25,6.4
150,Sandro Tonali,TOT,MID,57,177.62,169.13,6.15
151,Nilson Angulo,SUN,MID,58,177.15,151.15,7.97
152,Maxence Lacroix,CHE,DEF,42,176.7,138.2,7.23
153,Yeremy Pino,CRY,MID,59,176.35,143.07,7.94
154,Maxim De Cuyper,BHA,DEF,43,175.24,110.48,7.89
155,Joe Rodon,LEE,DEF,44,175.08,138.73,5.25
