unified_rank,player,team,position,waiverkings_rank,sources_count,unified_score,waiverkings_pts
1,Haaland,MCI,FWD,1,1,0.00625,239.0
2,B.Fernandes,MUN,MID,2,1,0.0125,235.0
3,Isak,LIV,FWD,3,1,0.01875,41.0
4,João Pedro,CHE,FWD,4,1,0.025,177.0
5,Palmer,CHE,MID,5,1,0.03125,114.0
6,Semenyo,MCI,MID,6,1,0.0375,202.0
7,Saka,ARS,MID,7,1,0.04375,157.0
8,Watkins,AVL,FWD,8,1,0.05,167.0
9,Thiago,BRE,FWD,9,1,0.05625,181.0
10,Rice,ARS,MID,10,1,0.0625,184.0
11,Gibbs-White,NFO,MID,11,1,0.06875,188.0
12,Gabriel,ARS,DEF,12,1,0.075,209.0
13,Rogers,CHE,MID,13,1,0.08125,169.0
14,Mbeumo,MUN,MID,14,1,0.0875,148.0
15,Calvert-Lewin,LEE,FWD,15,1,0.09375,142.0
16,Šeško,MUN,FWD,16,1,0.1,111.0
17,Bruno G.,NEW,MID,17,1,0.10625,154.0
18,Wirtz,LIV,MID,18,1,0.1125,125.0
19,Anderson,MCI,MID,19,1,0.11875,180.0
20,Havertz,ARS,FWD,20,1,0.125,36.0
21,Igor Jesus,NFO,FWD,21,1,0.13125,114.0
22,Szoboszlai,LIV,MID,22,1,0.1375,160.0
23,Rayan,BOU,MID,23,1,0.14375,67.0
24,Cunha,MUN,MID,24,1,0.15,143.0
25,Mateta,CRY,FWD,25,1,0.15625,114.0
26,Gyökeres,ARS,FWD,26,1,0.1625,128.0
27,Brobbey,SUN,FWD,27,1,0.16875,92.0
28,Guéhi,MCI,DEF,28,1,0.175,179.0
29,Virgil,LIV,DEF,29,1,0.18125,175.0
30,J.Timber,ARS,DEF,30,1,0.1875,149.0
31,O'Reilly,MCI,DEF,31,1,0.19375,160.0
32,Lacroix,CHE,DEF,32,1,0.2,154.0
33,Gvardiol,MCI,DEF,33,1,0.20625,79.0
34,Evanilson,BOU,FWD,34,1,0.2125,115.0
35,Doku,MCI,MID,35,1,0.21875,120.0
36,Cherki,MCI,MID,36,1,0.225,135.0
37,Foden,MCI,MID,37,1,0.23125,131.0
38,Sarr,CRY,MID,38,1,0.2375,117.0
39,Garner,EVE,MID,39,1,0.24375,159.0
40,Tavernier,BOU,MID,40,1,0.25,137.0
41,Dewsbury-Hall,EVE,MID,41,1,0.25625,151.0
42,Georginio,BHA,FWD,42,1,0.2625,87.0
43,Wissa,NEW,FWD,43,1,0.26875,27.0
44,Beto,EVE,FWD,44,1,0.275,104.0
45,Muñoz,CRY,DEF,45,1,0.28125,136.0
46,Tarkowski,EVE,DEF,46,1,0.2875,170.0
47,Matheus N.,MCI,DEF,47,1,0.29375,154.0
48,Calafiori,ARS,DEF,48,1,0.3,109.0
49,Raya,ARS,GK,49,1,0.30625,162.0
50,Groß,BHA,MID,50,1,0.3125,78.0
51,Gakpo,LIV,MID,51,1,0.31875,131.0
52,O.Dango,BRE,MID,52,1,0.325,136.0
53,Wilson,LEE,MID,53,1,0.33125,168.0
54,Pedro Porro,TOT,DEF,54,1,0.3375,117.0
55,N.Williams,NFO,DEF,55,1,0.34375,128.0
56,Senesi,TOT,DEF,56,1,0.35,175.0
57,Mosquera,ARS,DEF,57,1,0.35625,40.0
58,Tzolis,ARS,MID,58,1,0.3625,
59,Enzo,CHE,MID,59,1,0.36875,157.0
60,Kluivert,BOU,MID,60,1,0.375,41.0
61,Kudus,TOT,MID,61,1,0.38125,75.0
62,Ødegaard,ARS,MID,62,1,0.3875,74.0
63,Eze,ARS,MID,63,1,0.39375,113.0
64,Ndiaye,EVE,MID,64,1,0.4,128.0
65,Solanke,TOT,FWD,65,1,0.40625,40.0
66,Richarlison,TOT,FWD,66,1,0.4125,119.0
67,McBurnie,HUL,FWD,67,1,0.41875,
68,Wright,COV,FWD,68,1,0.425,
69,Emersonn,IPS,FWD,69,1,0.43125,
70,Strand Larsen,CRY,FWD,70,1,0.4375,75.0
71,Welbeck,CHE,FWD,71,1,0.44375,126.0
72,García,FUL,FWD,72,1,0.45,
73,Osula,NEW,FWD,73,1,0.45625,76.0
74,Woltemade,NEW,FWD,74,1,0.4625,108.0
75,Milenković,NFO,DEF,75,1,0.46875,119.0
76,Murillo,NFO,DEF,76,1,0.475,83.0
77,Kerkez,LIV,DEF,77,1,0.48125,85.0
78,Frimpong,LIV,DEF,78,1,0.4875,63.0
79,Mukiele,SUN,DEF,79,1,0.49375,151.0
80,Truffert,BOU,DEF,80,1,0.5,165.0
81,Donnarumma,MCI,GK,81,1,0.50625,135.0
82,Kelleher,BRE,GK,82,1,0.5125,143.0
83,Sels,NFO,GK,83,1,0.51875,105.0
84,Pickford,EVE,GK,84,1,0.525,135.0
85,A.Becker,LIV,GK,85,1,0.53125,91.0
86,E.Le Fée,SUN,MID,86,1,0.5375,147.0
87,Scott,BOU,MID,87,1,0.54375,136.0
88,Stach,LEE,MID,88,1,0.55,137.0
89,Ampadu,LEE,MID,89,1,0.55625,134.0
90,Schade,BRE,MID,90,1,0.5625,125.0
91,Neto,CHE,MID,91,1,0.56875,125.0
92,Barnes,NEW,MID,92,1,0.575,106.0
93,Fernandes,TOT,MID,93,1,0.58125,135.0
94,Gravenberch,LIV,MID,94,1,0.5875,144.0
95,Martinelli,ARS,MID,95,1,0.59375,57.0
96,Kulusevski,TOT,MID,96,1,0.6,
97,Maddison,TOT,MID,97,1,0.60625,3.0
98,Van Hecke,TOT,DEF,98,1,0.6125,148.0
99,Collins,BRE,DEF,99,1,0.61875,129.0
100,Canvot,CRY,DEF,100,1,0.625,72.0
