unified_rank,player,team,position,sleeper_rank,sources_count,unified_score,sleeper_pts,sleeper_floor,sleeper_pp90
1,Bruno Fernandes,MUN,MID,1,1,0.002369668246445498,468.23,333.34,15.05
2,Erling Haaland,MCI,FWD,2,1,0.004739336492890996,431.81,200.66,14.39
3,Morgan Gibbs-White,NFO,MID,3,1,0.0071090047393364926,395.34,269.79,11.86
4,Bukayo Saka,ARS,MID,4,1,0.009478672985781991,393.62,281.88,14.76
5,Antoine Semenyo,MCI,FWD,5,1,0.011848341232227487,384.66,241.51,13.85
6,Dominik Szoboszlai,LIV,MID,6,1,0.014218009478672985,358.67,283.42,10.76
7,Jeremy Doku,MCI,MID,7,1,0.016587677725118485,349.13,266.0,14.28
8,Matheus Cunha,MUN,FWD,8,1,0.018957345971563982,346.36,242.67,11.99
9,Igor Thiago,BRE,FWD,9,1,0.02132701421800948,320.51,189.29,10.3
10,Florian Wirtz,LIV,MID,10,1,0.023696682464454975,319.27,232.69,11.49
11,Ollie Watkins,AVL,FWD,11,1,0.026066350710900472,315.79,160.17,10.93
12,Joao Pedro,CHE,FWD,12,1,0.02843601895734597,314.33,186.35,10.48
13,Rayan Cherki,MCI,MID,13,1,0.030805687203791468,312.99,213.24,15.65
14,Cody Gakpo,LIV,FWD,14,1,0.03317535545023697,312.23,213.28,13.38
15,Bryan Mbeumo,MUN,FWD,15,1,0.035545023696682464,304.55,198.32,10.54
16,Gabriel,ARS,DEF,16,1,0.037914691943127965,303.82,186.99,9.77
17,Cole Palmer,CHE,MID,17,1,0.04028436018957346,301.7,204.73,10.44
18,Neco Williams,NFO,DEF,18,1,0.04265402843601896,294.77,225.97,8.29
19,Virgil van Dijk,LIV,DEF,19,1,0.045023696682464455,286.14,202.84,8.58
20,Marcus Tavernier,BOU,MID,20,1,0.04739336492890995,285.05,225.77,10.26
21,James Tarkowski,EVE,DEF,21,1,0.04976303317535545,284.56,219.61,9.15
22,Iliman Ndiaye,EVE,MID,22,1,0.052132701421800945,278.46,207.15,9.28
23,Rayan,BOU,FWD,23,1,0.054502369668246446,277.92,186.31,10.42
24,Morgan Rogers,CHE,MID,24,1,0.05687203791469194,275.55,188.62,9.54
25,Pedro Porro,TOT,DEF,25,1,0.05924170616113744,274.19,203.58,8.81
26,Adrien Truffert,BOU,DEF,26,1,0.061611374407582936,273.04,200.0,7.68
27,Declan Rice,ARS,MID,27,1,0.06398104265402843,272.06,218.99,9.42
28,Alexander Isak,LIV,FWD,28,1,0.06635071090047394,271.9,110.34,10.64
29,Enzo Le Fee,SUN,MID,29,1,0.06872037914691943,270.97,216.21,8.71
30,Dominic Calvert-Lewin,LEE,FWD,30,1,0.07109004739336493,270.39,173.92,8.69
31,Diego Gomez,BHA,MID,31,1,0.07345971563981042,265.55,214.16,8.85
32,Phil Foden,MCI,MID,32,1,0.07582938388625593,262.33,175.29,11.24
